Evidenz_ID;Quellbereich;Relativer_Pfad;Dateiname;Erweiterung;Groesse_Byte;Aenderungszeit_UTC;Attribute;SHA256;Signatur;Partnerdatei;Kategorie;Moegliche_Relevanz;Pruefergebnis;Offene_Frage
SRC-DAT-0001;EDW3DAT;02\EDWFRM01.DOT;EDWFRM01.DOT;DOT;37376;2002-01-30T09:14:16Z;Archive;acfb347bf14fad29a17721fdc0b1395ffab51491a94b5a3f8b429a9229d6d48e;OLE-Compound-Document;;Vorlage;"Dokument- oder Formularvorlage; nur statisch untersucht.";"Metadaten, SHA-256 und Header statisch erfasst; nicht ausgefuehrt.";Welcher Ausloeser und welche aktuelle Dokumentvariante gelten?
SRC-DAT-0002;EDW3DAT;02\EDWFRM03.DOT;EDWFRM03.DOT;DOT;43008;2003-10-29T11:00:34Z;Archive;6decf819da8e197efda41982e5d40dcdbee9c2de692dc3bca20884a0407e4591;OLE-Compound-Document;;Vorlage;"Dokument- oder Formularvorlage; nur statisch untersucht.";"Metadaten, SHA-256 und Header statisch erfasst; nicht ausgefuehrt.";Welcher Ausloeser und welche aktuelle Dokumentvariante gelten?
SRC-DAT-0003;EDW3DAT;AUSWAHL.INI;AUSWAHL.INI;INI;1260;2005-06-30T12:06:14Z;Archive;ce6c1b2dcdaec77446b73b518da3fcb4ec56e13af6236f83fcb99d4516ba981d;Text/ASCII- oder ANSI-nah;;Konfiguration;"Betriebs-, Funktions- oder Drucksteuerung; Werte werden nicht offengelegt.";"Metadaten, SHA-256 und Header statisch erfasst; nicht ausgefuehrt.";"Welche Schluessel sind produktiv relevant; welche Werte duerfen spaeter migriert werden?"
SRC-DAT-0004;EDW3DAT;buch.dat;buch.dat;DAT;18055324;2026-07-28T12:34:44.845651Z;Archive;9e620c569b763ef11b984d67a9d46b274586f7a91d6280f38989d501f85f7070;unbekanntes Binaerformat;buch.idx;Daten;"Moeglicher fachlicher Datenbestand; Inhalte wurden nicht exportiert.";"Metadaten, SHA-256 und Header erfasst; keine Datensaetze exportiert, kein Index geoeffnet oder repariert.";Welche fachliche Bedeutung, Schluessel und Aufbewahrungsregeln gelten?
SRC-DAT-0005;EDW3DAT;buch.idx;buch.idx;IDX;1331200;2026-07-28T12:34:44.879595Z;Archive;8aa4a4f3632aaf8a30725c691e3040d24e5a61036f820ccc8610f7e93d6447de;unbekanntes Binaerformat;buch.dat;Index;"Partnerindex zu einem Datenbestand; nicht geoeffnet oder repariert.";"Metadaten, SHA-256 und Header erfasst; keine Datensaetze exportiert, kein Index geoeffnet oder repariert.";Welche fachliche Bedeutung, Schluessel und Aufbewahrungsregeln gelten?
SRC-DAT-0006;EDW3DAT;BUCHA.DAT;BUCHA.DAT;DAT;1726652;2004-10-19T13:13:26Z;Archive;485f6642be2d70492832b4b79b0b07ab4ba75d3b85751bfc0037b921ce0310fc;unbekanntes Binaerformat;BUCHA.IDX;Daten;"Moeglicher fachlicher Datenbestand; Inhalte wurden nicht exportiert.";"Metadaten, SHA-256 und Header erfasst; keine Datensaetze exportiert, kein Index geoeffnet oder repariert.";Welche fachliche Bedeutung, Schluessel und Aufbewahrungsregeln gelten?
SRC-DAT-0007;EDW3DAT;BUCHA.IDX;BUCHA.IDX;IDX;231424;2004-10-19T13:13:26Z;Archive;d5c59131febbc943722fc508b0d94aead9ed964c851b8fa70564776c8fca0682;unbekanntes Binaerformat;BUCHA.DAT;Index;"Partnerindex zu einem Datenbestand; nicht geoeffnet oder repariert.";"Metadaten, SHA-256 und Header erfasst; keine Datensaetze exportiert, kein Index geoeffnet oder repariert.";Welche fachliche Bedeutung, Schluessel und Aufbewahrungsregeln gelten?
SRC-DAT-0008;EDW3DAT;Buchalt.dat;Buchalt.dat;DAT;341612;2002-01-14T06:19:30Z;Archive;8290171debbf285eb39a914da5497a250f361e68872fabf26a9cdcc05973f20b;unbekanntes Binaerformat;Buchalt.idx;Daten;"Moeglicher fachlicher Datenbestand; Inhalte wurden nicht exportiert.";"Metadaten, SHA-256 und Header erfasst; keine Datensaetze exportiert, kein Index geoeffnet oder repariert.";Welche fachliche Bedeutung, Schluessel und Aufbewahrungsregeln gelten?
SRC-DAT-0009;EDW3DAT;Buchalt.idx;Buchalt.idx;IDX;60416;2002-01-14T06:19:30Z;Archive;f440b7e2b8cedefd1bfd8827802fb1390ef16ffff445e0ae416bb2f4eba23e02;unbekanntes Binaerformat;Buchalt.dat;Index;"Partnerindex zu einem Datenbestand; nicht geoeffnet oder repariert.";"Metadaten, SHA-256 und Header erfasst; keine Datensaetze exportiert, kein Index geoeffnet oder repariert.";Welche fachliche Bedeutung, Schluessel und Aufbewahrungsregeln gelten?
SRC-DAT-0010;EDW3DAT;DRAUF.DAT;DRAUF.DAT;DAT;2879712;2026-08-04T08:25:40.283200Z;Archive;5c0fb58b6ebd72dee8417acb20d52ca01a2fa940feb2a93b5063d17afd8a19f9;unbekanntes Binaerformat;DRAUF.IDX;Daten;"Moeglicher fachlicher Datenbestand; Inhalte wurden nicht exportiert.";"Metadaten, SHA-256 und Header erfasst; keine Datensaetze exportiert, kein Index geoeffnet oder repariert.";Welche fachliche Bedeutung, Schluessel und Aufbewahrungsregeln gelten?
